oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Benefon,Vega,1999,Discontinued,145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in),,Mini-SIM,Monochrome graphic,,6 lines,V1,
Garmin-Asus,nuvifone M10,2010,Discontinued,,,Mini-SIM,TFT resistive touchscreen,,3.5,480 x 800 pixels,5:3 ratio (~267 ppi density)
Gigabyte,GSmart G1305 Boston,2010,Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),,Mini-SIM,TFT capacitive touchscreen,,3.2,320 x 480 pixels,3:2 ratio (~180 ppi density)
Gigabyte,GSmart,,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),,Mini-SIM,TFT capacitive touchscreen,,2.8,240 x 320 pixels,4:3 ratio (~143 ppi density)
Google,Pixel 4 XL,2019,2019,160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),,Nano-SIM card & eSIM,P-OLED capacitive touchscreen,,6.3,1440 x 3040 pixels,19:9 ratio (~537 ppi density)
Google,Pixel 4,2019,2019,147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),,Nano-SIM card & eSIM,P-OLED capacitive touchscreen,,5.7,1080 x 2280 pixels,19:9 ratio (~444 ppi density)
Google,Pixel 3a XL,2019,2019,160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),,Nano-SIM,eSIM,,16M colors,,1080 x 2160 pixels
Google,Pixel 3a,2019,2019,151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),,Nano-SIM,OLED capacitive touchscreen,,5.6,1080 x 2220 pixels,18.5:9 ratio (~441 ppi density)
Haier,N60,2005,Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),,Mini-SIM,TFT resistive touchscreen,,,320 x 240 pixels,4:3 ratio
Haier,T3000,2005,Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),,Mini-SIM,65K colors,,128 x 160 pixels,V1,
Haier,V280,2005,Discontinued,109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in),,Mini-SIM,65K colors,,128 x 160 pixels,V1,
Haier,V190,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),,Mini-SIM,65K colors,,128 x 128 pixels,1:1 ratio,V1
Haier,V100,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),,Mini-SIM,65K colors,,128 x 128 pixels,1:1 ratio,V1
Haier,P5,2003,Discontinued,135 x 28 x 18 mm (5.31 x 1.10 x 0.71 in),,Mini-SIM,Monochrome,,64 x 102 pixels,16:10 ratio,V1
Haier,Z8000,2004,Discontinued,83 x 44 x 23.8 mm (3.27 x 1.73 x 0.94 in),,Mini-SIM,4096 colors,,128 x 128 pixels,1:1 ratio,V1
Honor,8S 2020,2020,2020,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Honor,Play4,2020,2020,170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,Play4 Pro,2020,2020,162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,X10 5G,2020,2020,163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,V6,2020,2020,245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in),,,IPS LCD capacitive touchscreen,,10.4,1200 x 2000 pixels,5:3 ratio (~224 ppi density)
Honor,9A,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Honor,9C,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Honor,9S,2020,2020,146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
Honor,9X Lite,2020,2020,160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,30 Pro+,2020,2020,160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
